FID,NGAID,SRCLNKID,METLNKID,FEATTYPE,SECCLASS,NAME,AREA_,PHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGPHONE,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,HSIPTHEMES,NAICSCODE,NAICSDESCR,GEOLINKID,SOURCE,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QA_QC
185, ,G0974, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - HARBOR,800,742-5877,98071 W BENHAM LN, ,HARBOR,OR,97415,9546,CURRY,41015, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  86910329,TGS,-124.25479,42.04271,NAVTEQ,2006Q2,BLOCKFACE, , 
186, ,G0309, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - ELMA,800,742-5877,19 SCHOUWEILER TRACT ROAD WEST, ,ELMA,WA,98541,9385,GRAYS HARBOR,53027, , , , ,2006/09/15 00:00:00+00,WEB,2006/09/15 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 121605533,TGS,-123.4424,46.99789,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
187, ,G0886, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - BREMERTON,800,742-5877,8000 WERNER ROAD, ,BREMERTON,WA,98312,3202,KITSAP,53035, , , , ,2006/09/12 00:00:00+00,WEB,2006/09/12 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  21151333,TGS,-122.6984,47.55874,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
188, ,G0316, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - EUGENE,800,742-5877,1910 NUGGET WAY, ,EUGENE,OR,97403,2469,LANE,41039, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  37695656,TGS,-123.03226,44.03995,NAVTEQ,2006Q2,BLOCKFACE, , 
189, ,G0947, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - EVERETT,800,742-5877,923 100TH ST SE, ,EVERETT,WA,98208,3731,SNOHOMISH,53061, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 124495598,TGS,-122.22014,47.90771,NAVTEQ,2006Q2,BLOCKFACE, , 
190, ,G0720, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - FAIRFIELD,800,742-5877,5000 W CORDELIA RD, ,FAIRFIELD,CA,94534,1628,SOLANO,06095, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  24552148,TGS,-122.14201,38.20966,NAVTEQ,2006Q2,BLOCKFACE, , 
191, ,E0177, ,POINT,UNCLASSIFIED,ROADWAY EXPRESS INCORPORATED-SALINAS,503,286-4002,20740 SPENCE ROAD, ,SALINAS,CA,93908,9511,MONTEREY,06053,LOCATED ON THE NW SIDE OF SPENCE RD ABOUT .60 MILES NE OF THE ECKHART RD AND SPENCE RD T-INTERSECTION., , , ,2006/09/11 00:00:00+00,PHONE,2006/09/11 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",484122,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS-THAN-TRUCKLOAD (LTL)",  24609583,TGS,-121.55891,36.61836,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
192, ,D0380, ,POINT,UNCLASSIFIED,FEDEX - SOQUEL, , ,2660 RESEARCH PARK DR, ,SOQUEL,CA,95073,2087,SANTA CRUZ,06087, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  28434316,TGS,-121.96856,36.9834,NAVTEQ,2006Q2,BLOCKFACE, , 
193, ,G0220, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - HILO,800,352-3502,1515 KEKUANAOA ST, ,HILO,HI,96720,4516,HAWAII,15001, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 115759296,TGS,-155.04543,19.71592,NAVTEQ,2006Q2,BLOCKFACE, , 
194, ,C0162, ,POINT,UNCLASSIFIED,DHL STATION - EUREKA,800,225-5345,417 WEST WABASH AVENUE, ,EUREKA,CA,95501,2826,HUMBOLDT,06023, , , , ,2006/09/18 00:00:00+00,WEB,2006/09/18 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  91480727,TGS,-124.17542,40.79119,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
195, ,D0330, ,POINT,UNCLASSIFIED,FEDEX - SAN RAFAEL,800,463-3339,1637 FRANCISCO BOULEVARD EAST, ,SAN RAFAEL,CA,94901,5504,MARIN,06041, , , , ,2006/09/18 00:00:00+00,WEB,2006/09/18 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  23630754,TGS,-122.49367,37.94972,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
196, ,D0341, ,POINT,UNCLASSIFIED,FEDEX - SAN FRANCISCO, , ,1875 MARIN ST, ,SAN FRANCISCO,CA,94124,1139,SAN FRANCISCO,06075, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  23610406,TGS,-122.39524,37.74814,NAVTEQ,2006Q2,BLOCKFACE, , 
197, ,G0633, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - PETALUMA,800,742-5877,3860 CYPRESS DR, ,PETALUMA,CA,94954,5613,SONOMA,06097, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  23824160,TGS,-122.58798,38.22695,NAVTEQ,2006Q2,BLOCKFACE, , 
198, ,G0290, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - FORT BRAGG,800,742-5877,18101 OCEAN DR, ,FORT BRAGG,CA,95437,9297,MENDOCINO,06045, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 112001753,TGS,-123.80959,39.40662,NAVTEQ,2006Q2,BLOCKFACE, , 
199, ,G0456, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - PACIFIC,800,742-5877,244 ROY RD SE, ,PACIFIC,WA,98047, ,PIERCE,53053, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  21103879,TGS,-122.25247,47.25499,NAVTEQ,2006Q2,BLOCKFACE, , 
200, ,D0532, ,POINT,UNCLASSIFIED,FEDEX - ROSEBURG,800,463-3339,1260 NORTHEAST WALNUT STREET, ,ROSEBURG,OR,97470,2026,DOUGLAS,41019, , , , ,2006/09/25 00:00:00+00,WEB,2006/09/25 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  92557003,TGS,-123.35148,43.22376,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
201, ,C0159, ,POINT,UNCLASSIFIED,DHL EXPRESS - SAN JOSE, , ,198 BARNARD AVE, ,SAN JOSE,CA,95125,1040,SANTA CLARA,06085, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  23727556,TGS,-121.87465,37.30679,NAVTEQ,2006Q2,BLOCKFACE, , 
202, ,D0476, ,POINT,UNCLASSIFIED,FEDEX-REDDING,800,463-3339,6775 WOODRUM CIRCLE, ,REDDING,CA,96002,9386,SHASTA,06089, , , , ,2006/09/25 00:00:00+00,WEB,2006/09/25 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 105390495,TGS,-122.29968,40.50294,NAVTEQ,2006Q2,BLOCKFACE, ,TGS
203, ,D0488, ,POINT,UNCLASSIFIED,FEDEX - PLEASANTON, , ,7275 JOHNSON DR, ,PLEASANTON,CA,94588,3861,ALAMEDA,06001, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  23686000,TGS,-121.91855,37.69242,NAVTEQ,2006Q2,BLOCKFACE, , 
204, ,G0478, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - GRANTS PASS,800,742-5877,2552 FOOTHILL BLVD, ,GRANTS PASS,OR,97526,3603,JOSEPHINE,41033, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 121718864,TGS,-123.28235,42.43825,NAVTEQ,2006Q2,BLOCKFACE, , 
205, ,D0471, ,POINT,UNCLASSIFIED,FEDEX - SEATTLE, , ,651 S ALASKA ST, ,SEATTLE,WA,98108,1728,KING,53033, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  21088347,TGS,-122.32546,47.56094,NAVTEQ,2006Q2,BLOCKFACE, , 
206, ,B0421, ,POINT,UNCLASSIFIED,CON-WAY FREIGHT - PORTLAND,503,682-9212,9835 SOUTHWEST COMMERCE CIRCLE, ,WILSONVILLE,OR,97070,8607,WASHINGTON,41067,FROM THE NORTHERN MOST INTERSECTION OF SOUTHWEST COMMERCE CIRCLE AND SOUTHWEST 95TH AVENUE TRAVEL APPROXIMATELY .20 MILES WEST. ENTITY WILL BE ON THE WEST SIDE OF SOUTHWEST COMMERCE CIRCLE., , , ,2006/09/13 00:00:00+00,PHONE,2006/09/13 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",484122,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS-THAN-TRUCKLOAD (LTL)",  19387559,TGS,-122.77877,45.33745,NAVTEQ,2006Q2,ONENTITY,YES,TGS
207, ,B0429, ,POINT,UNCLASSIFIED,CON-WAY FREIGHT - PORTLAND NORTH,503,484-9200,13704 NORTHEAST AIRPORT WAY, ,PORTLAND,OR,97230,1047,MULTNOMAH,41051,SOUTHWEST CORNER OF NORTHEAST 138TH AVENUE AND NORTHEAST AIRPORT WAY., , , ,2006/09/13 00:00:00+00,PHONE,2006/09/13 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",484122,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS-THAN-TRUCKLOAD (LTL)",  21289252,TGS,-122.52271,45.56087,NAVTEQ,2006Q2,ONENTITY,YES,TGS
208, ,G0862, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - NEWPORT,800,742-5877,7480 NE AVERY ST, ,NEWPORT,OR,97365,9558,LINCOLN,41041, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  86563686,TGS,-124.06066,44.69165,NAVTEQ,2006Q2,BLOCKFACE, , 
209, ,G0260, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - NORTH BEND,800,742-5877,1660 CESSNA CIRCLE, ,NORTH BEND,OR,97459, ,COOS,41011,LOCATED ON THE SOUTH SIDE OF CESSNA CIRCLE .03 MILES NORTHEAST OF THE CESSNA CIRCLE AND AIRPORT LANE T-INTERSECTION., , , ,2006/10/02 00:00:00+00,PHONE,2006/10/02 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 119731502,TGS,-124.24981,43.41492,NAVTEQ,2006Q2,ONENTITY,NO,TGS
210, ,G0574, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - SAN FRANCISCO,800,742-5877,320 SAN BRUNO AVE, ,SAN FRANCISCO,CA,94103, ,SAN FRANCISCO,06075, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  23615927,TGS,-122.4059,37.76544,NAVTEQ,2006Q2,BLOCKFACE, , 
211, ,G0539, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - SAN FRANCISCO,415,288-7996,301 CALIFORNIA ST, ,SAN FRANCISCO,CA,94104,2600,SAN FRANCISCO,06075, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  23599373,TGS,-122.4003,37.79294,NAVTEQ,2006Q2,BLOCKFACE, , 
212, ,G0661, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - SAN FRANCISCO,415,217-6488,41 MONTGOMERY ST, ,SAN FRANCISCO,CA,94104,4503,SAN FRANCISCO,06075, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  23611713,TGS,-122.40243,37.78951,NAVTEQ,2006Q2,BLOCKFACE, , 
213, ,G0335, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - SAN JOSE,800,742-5877,1999 S 7TH ST, ,SAN JOSE,CA,95112,6009,SANTA CLARA,06085, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  24585294,TGS,-121.86037,37.30888,NAVTEQ,2006Q2,BLOCKFACE, , 
214, ,G0525, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - SAN RAFAEL,800,742-5877,2985 KERNER BLVD, ,SAN RAFAEL,CA,94901,5516,MARIN,06041, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  23625965,TGS,-122.49808,37.95517,NAVTEQ,2006Q2,BLOCKFACE, , 
215, ,G0690, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - SAN RAMON,800,742-5877,4500 NORRIS CANYON RD, ,SAN RAMON,CA,94583,1369,CONTRA COSTA,06013, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  23764007,TGS,-121.96876,37.77329,NAVTEQ,2006Q2,BLOCKFACE, , 
216, ,G0617, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - LIHUE,800,742-5877,3651 AHUKINI RD, ,LIHUE,HI,96766,9700,KAUAI,15007, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 115762612,TGS,-159.34461,21.98221,NAVTEQ,2006Q2,BLOCKFACE, , 
217, ,G0593, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - SANTA ROSA,800,742-5877,3331 INDUSTRIAL DR, ,SANTA ROSA,CA,95403,2062,SONOMA,06097, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  23826794,TGS,-122.74055,38.47485,NAVTEQ,2006Q2,BLOCKFACE, , 
218, ,C0325, ,POINT,UNCLASSIFIED,DHL EXPRESS - BELLEVUE, , ,13216 SE 32ND STREET, ,BELLEVUE,WA,98005,4427,KING,53033, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  21067714,TGS,-122.1649,47.58222,NAVTEQ,2006Q2,BLOCKFACE, , 
219, ,D0197, ,POINT,UNCLASSIFIED,FEDEX - SACRAMENTO, , ,6733 LINDBERGH DR STE F, ,SACRAMENTO,CA,95837,1114,SACRAMENTO,06067, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  24445592,TGS,-121.59503,38.68699,NAVTEQ,2006Q2,BLOCKFACE, , 
220, ,G0806, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - PORTLAND,800,742-5877,6707 N BASIN AVE, ,PORTLAND,OR,97217,3929,MULTNOMAH,41051, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  21301362,TGS,-122.71752,45.57104,NAVTEQ,2006Q2,BLOCKFACE, , 
221, ,D0193, ,POINT,UNCLASSIFIED,FEDEX - TUALATIN,800,463-3339,6505 SOUTHWEST ROSEWOOD STREET, ,TUALATIN,OR,97062, ,CLACKAMAS,41005, , , , ,2006/09/11 00:00:00+00,WEB,2006/09/12 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  21357834,TGS,-122.74366,45.40132,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
222, ,G0409, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - KELSO,800,742-5877,2202 TALLEY WAY, ,KELSO,WA,98626,5511,COWLITZ,53015, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  86332040,TGS,-122.89752,46.12341,NAVTEQ,2006Q2,BLOCKFACE, , 
223, ,G0287, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - REDMOND,800,742-5877,18001 NE UNION HILL RD, ,REDMOND,WA,98052,3336,KING,53033, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 124507921,TGS,-122.09984,47.67548,NAVTEQ,2006Q2,BLOCKFACE, , 
224, ,G0150, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - HONOLULU,808,839-1907,128 MOKUEA PL, ,HONOLULU,HI,96819,1848,HONOLULU,15003, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  92885273,TGS,-157.91344,21.31844,NAVTEQ,2006Q2,BLOCKFACE, , 
225, ,G0242, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - RICHMOND,800,742-5877,1601 ATLAS RD, ,RICHMOND,CA,94806,1101,CONTRA COSTA,06013, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 120903037,TGS,-122.34841,37.99713,NAVTEQ,2006Q2,BLOCKFACE, , 
226, ,G0645, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - KLAMATH FALLS,800,742-5877,400 LAKEPORT BLVD, ,KLAMATH FALLS,OR,97601,1431,KLAMATH,41035, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 129639859,TGS,-121.79368,42.24717,NAVTEQ,2006Q2,BLOCKFACE, , 
227, ,G0672, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - ROSEBURG,800,742-5877,4229 OLD STATE HIGHWAY 99 SOUTH, ,ROSEBURG,OR,97470, ,DOUGLAS,41019, , , , ,2006/09/25 00:00:00+00,WEB,2006/09/25 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  87759439,TGS,-123.37283,43.15179,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
228, ,D0290, ,POINT,UNCLASSIFIED,FEDEX - PACHECO, , ,115 CENTER AVE, ,PACHECO,CA,94553,5609,CONTRA COSTA,06013, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  23644906,TGS,-122.06513,37.98392,NAVTEQ,2006Q2,BLOCKFACE, , 
229, ,A0172, ,POINT,UNCLASSIFIED,"ABF FREIGHT SYSTEM - OAKLAND, CALIFORNIA",510,533-8575,4575 TIDEWATER AVE, ,OAKLAND,CA,94601,3917,ALAMEDA,06001, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",4841,GENERAL FREIGHT TRUCKING,  23808124,TGS,-122.22237,37.76402,NAVTEQ,2006Q2,BLOCKFACE, , 
230, ,G0149, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - LAKEPORT,800,742-5877,1275 CRAIG AVE, ,LAKEPORT,CA,95453,5704,LAKE,06033, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 112056165,TGS,-122.92899,39.03667,NAVTEQ,2006Q2,BLOCKFACE, , 
231, ,D0087, ,POINT,UNCLASSIFIED,FEDEX - BOTHELL, , ,22028 26TH AVE SE, ,BOTHELL,WA,98021,4902,SNOHOMISH,53061, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  31368346,TGS,-122.19916,47.7987,NAVTEQ,2006Q2,BLOCKFACE, , 
232, ,G0263, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - SALEM,800,742-5877,1685 SALEM INDUSTRIAL DR NE, ,SALEM,OR,97303,4238,MARION,41047, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  21370052,TGS,-123.01095,44.97249,NAVTEQ,2006Q2,BLOCKFACE, , 
