FID,NGAID,SRCLNKID,METLNKID,FEATTYPE,SECCLASS,NAME,AREA_,PHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGPHONE,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,HSIPTHEMES,NAICSCODE,NAICSDESCR,GEOLINKID,SOURCE,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QA_QC
1278, ,H0113, ,POINT,UNCLASSIFIED,YELLOW TRANSPORTATION INCORPORATED - GULFPORT,251,438-2432,11485 DEDEAUX ROAD, ,GULFPORT,MS,39503,5914,HARRISON,28047,"LOCATED ON THE SOUTH SIDE OF DEDEAUX ROAD, 0.18 MILES WEST OF THE INTERSECTION OF DEDEAUX ROAD AND LORRAINE ROAD.", , , ,2006/09/25 00:00:00+00,PHONE,2006/09/25 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",484122,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS-THAN-TRUCKLOAD (LTL)", 110309369,TGS,-89.03346,30.44945,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
1279, ,C0337, ,POINT,UNCLASSIFIED,DHL EXPRESS - MADISON, , ,1918 BARTILLON DRIVE, ,MADISON,WI,53704,2609,DANE,55025, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  88018343,TGS,-89.32385,43.12408,NAVTEQ,2006Q2,BLOCKFACE, , 
1280, ,H0274, ,POINT,UNCLASSIFIED,YELLOW TRANSPORTATION INCORPORATED - TOPEKA,785,357-5241,2000 SOUTHEAST RICE ROAD, ,TOPEKA,KS,66607,2375,SHAWNEE,20177,EAST SIDE OF SOUTHEAST RICE ROAD BETWEEN SOUTHEAST 21ST STREET AND SOUTHEAST CYPRUS DRIVE., , , ,2006/09/20 00:00:00+00,PHONE,2006/09/20 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",484122,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS-THAN-TRUCKLOAD (LTL)", 124972606,TGS,-95.62222,39.03054,NAVTEQ,2006Q2,ONENTITY,YES,TGS
1281, ,E0239, ,POINT,UNCLASSIFIED,ROADWAY INCORPORATED-AURORA TERMINAL,630,844-9596,1291 AURORA AVENUE LANE, ,AURORA,IL,60504,9702,KANE,17089,LOCATED ON THE E SIDE OF AURORA AVE LN BETWEEN E SULLIVAN RD AND E INDIAN TRL., , , ,2006/09/12 00:00:00+00,PHONE,2006/09/12 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",484122,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS-THAN-TRUCKLOAD (LTL)",  16870698,TGS,-88.31049,41.78322,NAVTEQ,2006Q2,BLOCKFACE,YES,TGS
1282, ,G0391, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - MAGNOLIA,800,742-5877,2126 JESSE HALL INDUSTRIAL PARK ROAD, ,MAGNOLIA,MS,39652,2178,PIKE,28113, , , , ,2006/09/19 00:00:00+00,WEB,2006/09/19 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 126404022,TGS,-90.45503,31.17279,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
1283, ,B0256, ,POINT,UNCLASSIFIED,CON-WAY FREIGHT - NEENAH/MENASHA,920,751-8470,1020 EHLERS ROAD, ,NEENAH,WI,54956,1419,WINNEBAGO,55139,NORTH SIDE OF EHLERS ROAD APPROXIMATELY .28 MILES SOUTHWEST FROM THE INTERSECTION OF JACOBSEN ROAD AND EHLERS ROAD., , , ,2006/09/12 00:00:00+00,PHONE,2006/09/12 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",484122,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS-THAN-TRUCKLOAD (LTL)", 111852804,TGS,-88.47793,44.20855,NAVTEQ,2006Q2,ONENTITY,YES,TGS
1284, ,C0281, ,POINT,UNCLASSIFIED,DHL EXPRESS - MEMPHIS, , ,3474 WINCHESTER ROAD, ,MEMPHIS,TN,38118,5932,SHELBY,47157, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  24929028,TGS,-89.94728,35.05246,NAVTEQ,2006Q2,BLOCKFACE, , 
1285, ,C0072, ,POINT,UNCLASSIFIED,DHL EXPRESS - MERIDIAN,800,225-5345,6000 I STREET, ,MERIDIAN,MS,39307,7103,LAUDERDALE,28075, , , , ,2006/09/25 00:00:00+00,WEB,2006/09/25 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 114382857,TGS,-88.74211,32.3481,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
1286, ,H0124, ,POINT,UNCLASSIFIED,YELLOW TRANSPORTATION INCORPORATED - JACKSON,601,932-2845,102 CARRIER BOULEVARD, ,RICHLAND,MS,39218, ,RANKIN,28121,"LOCATED ON THE NORTH SIDE OF CARRIER BOULEVARD, ON THE NORTH SIDE OF THE T INTERSECTION OF CARRIER BOULEVARD AND TRANSPORT AVENUE.", , , ,2006/09/21 00:00:00+00,PHONE,2006/09/21 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",484122,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS-THAN-TRUCKLOAD (LTL)",  99348014,TGS,-90.16521,32.26535,NAVTEQ,2006Q2,ONENTITY,YES,TGS
1287, ,C0336, ,POINT,UNCLASSIFIED,DHL EXPRESS - MILWAUKEE, , ,5110 SOUTH 6TH STREET, ,MILWAUKEE,WI,53221,3662,MILWAUKEE,55079, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  33397884,TGS,-87.91912,42.95133,NAVTEQ,2006Q2,BLOCKFACE, , 
1288, ,E0306, ,POINT,UNCLASSIFIED,ROADWAY EXPRESS INCORPORATED - LACROSSE TERMINAL,608,781-3409,2615 HEMSTOCK STREET, ,LACROSSE,WI,54603,2350,LA CROSSE,55063,"LOCATED ON THE WEST SIDE OF HEMSTOCK STREET, BETWEEN HAUSER STREET AND CUNNINGHAM STREET.", , , ,2006/09/11 00:00:00+00,PHONE,2006/09/11 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",484122,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS-THAN-TRUCKLOAD (LTL)", 101365536,TGS,-91.22297,43.85906,NAVTEQ,2006Q2,BLOCKFACE,YES,TGS
1289, ,H0254, ,POINT,UNCLASSIFIED,YELLOW TRANSPORTATION INCORPORATED - SPENCER,800,610-6500,216 EAST MILWAUKEE STREET, ,SPENCER,IA,51301,4420,CLAY,19041,LOCATED ON THE S SIDE OF E MILWAUKEE ST BETWEEN 2ND AVE E AND 3RD AVE E., , , ,2006/09/15 00:00:00+00,PHONE,2006/09/15 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",484122,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS-THAN-TRUCKLOAD (LTL)",  96171316,TGS,-95.14138,43.14448,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
1290, ,E0275, ,POINT,UNCLASSIFIED,ROADWAY EXPRESS INCORPORATED-CADILLAC TERMINAL,517,372-2540,605 WORKS AVENUE, ,CADILLAC,MI,49601,1057,WEXFORD,26165,LOCATED ON THE N SIDE OF WORKS AVE BETWEEN HANTHORN ST AND SIMMONS ST., , , ,2006/09/12 00:00:00+00,PHONE,2006/09/12 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",484122,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS-THAN-TRUCKLOAD (LTL)", 107992669,TGS,-85.40102,44.27845,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
1291, ,G0132, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - WATERTOWN,800,742-5877,1218 BOOMER ST, ,WATERTOWN,WI,53094,7104,JEFFERSON,55055, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 103136627,TGS,-88.71296,43.17403,NAVTEQ,2006Q2,BLOCKFACE, , 
1292, ,H0068, ,POINT,UNCLASSIFIED,YELLOW TRANSPORTATION  INCORPORATED- DECATUR,217,428-4452,3910 EAST HARRISON AVENUE, ,DECATUR,IL,62526,5501,MACON,17115,LOCATED ON THE NE CORNER OF E HARRISON AVE AND N COLLEGE BRUSH RD., , , ,2006/09/15 00:00:00+00,PHONE,2006/09/15 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",484122,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS-THAN-TRUCKLOAD (LTL)",  95419535,TGS,-88.89687,39.86614,NAVTEQ,2006Q2,ONENTITY, ,TGS
1293, ,G0591, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - MINNEAPOLIS,800,742-5877,3312 BROADWAY ST NE, ,MINNEAPOLIS,MN,55413,1709,HENNEPIN,27053, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  20243912,TGS,-93.21539,44.99928,NAVTEQ,2006Q2,BLOCKFACE, , 
1294, ,H0105, ,POINT,UNCLASSIFIED,YELLOW TRANSPORTATION INCORPORATED - GRAND RAPIDS,616,538-8880,2180 CHICAGO DRIVE, ,WYOMING,MI,49519, ,KENT,26081,"LOCATED ON THE SOUTHEAST SIDE OF CHICAGO DRIVE, 0.08 MILES NORTHEAST OF THE T INTERSECTION OF CHICAGO DRIVE AND COLLINGWOOD AVENUE SOUTHWEST.", , , ,2006/09/20 00:00:00+00,PHONE,2006/09/20 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",484122,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS-THAN-TRUCKLOAD (LTL)",  19961789,TGS,-85.71953,42.93161,NAVTEQ,2006Q2,ONENTITY,YES,TGS
1295, ,B0315, ,POINT,UNCLASSIFIED,CON-WAY FREIGHT - JACKSON MISSISSIPPI,601,936-6111,100 CONWAY PLACE, ,RICHLAND,MS,39218,9459,RANKIN,28121,FROM THE INTERSECTION OF DIANE DRIVE AND INTERSTATE DRIVE TRAVEL WEST FOR 0.48 MILES ON INTERSTATE DR. TURN SOUTH ON CONWAY PLACE FOR 0.23 MILES. ENTITY IS LOCATED ON THE EAST SIDE OF CONWAY PLACE., , , ,2006/09/14 00:00:00+00,PHONE,2006/09/14 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",484122,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS-THAN-TRUCKLOAD (LTL)",  99349412,TGS,-90.15533,32.24661,NAVTEQ,2006Q2,ONENTITY,YES,TGS
1296, ,G0031, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - WATERLOO,800,742-5877,100 INDUSTRIAL PARKWAY, ,WATERLOO,IN,46793,9438,DE KALB,18033, , , , ,2006/09/20 00:00:00+00,WEB,2006/09/20 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 103214048,TGS,-85.04578,41.43912,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
1297, ,G0090, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - DULUTH,800,742-5877,111 PORT TERMINAL DRIVE, ,DULUTH,MN,55802,2641,ST LOUIS,27137, , , , ,2006/09/13 00:00:00+00,WEB,2006/09/13 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 122594741,TGS,-92.10228,46.753,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
1298, ,C0017, ,POINT,UNCLASSIFIED,DHL EXPRESS - SOUTH BEND,800,225-5345,4200 LATHROP STREET, ,SOUTH BEND,IN,46628,6104,ST JOSEPH,18141, , , , ,2006/09/12 00:00:00+00,WEB,2006/09/12 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 103066422,TGS,-86.30279,41.70785,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
